Transaction Date,Post Date,Description,Category,Type,Amount,Memo
06/30/2025,06/30/2025,Payment Thank You-Mobile,,Payment,3958.49,
06/29/2025,06/30/2025,SP JP BODEN SVCS INC,Shopping,Sale,-37.81,
06/28/2025,06/30/2025,Half Sour,Food & Drink,Sale,-68.38,
06/29/2025,06/30/2025,AMAZON MKTPL*N37EE9E02,Shopping,Sale,-46.05,
06/28/2025,06/30/2025,PARKINGMETER1 8772427901,Travel,Sale,-3.75,
06/30/2025,06/30/2025,SP URBANSTEMS,Shopping,Sale,-483.76,
06/27/2025,06/29/2025,TST* TOTTO'S MARKET,Groceries,Sale,-8.25,
06/27/2025,06/29/2025,Amazon Tips*NQ10B0AV0,Shopping,Sale,-10.00,
06/28/2025,06/29/2025,BP#8940397IRVING PARK BP,Gas,Sale,-47.31,
06/27/2025,06/29/2025,Amazon.com*N35M67FE2,Shopping,Sale,-23.10,
06/28/2025,06/29/2025,WHOLEFDS HAL 10203,Groceries,Sale,-89.99,
06/27/2025,06/29/2025,Amazon.com*NQ6731GK0,Shopping,Sale,-12.67,
06/27/2025,06/29/2025,TST* TOTTO'S MARKET,Groceries,Sale,-10.58,
06/26/2025,06/27/2025,CHEWY.COM,Shopping,Sale,-99.51,
06/25/2025,06/26/2025,AMAZON MKTPL*NQ7VG18H2,Shopping,Sale,-17.63,
06/24/2025,06/26/2025,TST*FLACOS TACOS - DEAR,Food & Drink,Sale,-15.42,
06/25/2025,06/26/2025,Amazon.com*NQ4NT44H1,Shopping,Sale,-143.84,
06/25/2025,06/26/2025,1-800 CONTACTS  INC.,Health & Wellness,Return,0.80,
06/25/2025,06/26/2025,Amazon.com*NQ1EO64O0,Groceries,Sale,-182.33,
06/25/2025,06/26/2025,AMAZON MKTPL*NQ1I034I1,Shopping,Sale,-6.60,
06/25/2025,06/26/2025,Amazon.com*NQ5HV44B0,Groceries,Sale,-7.54,
06/24/2025,06/25/2025,TST*MAHARAJ - THE INDIAN,Food & Drink,Sale,-27.93,
06/24/2025,06/25/2025,Prime Video Channels,Shopping,Sale,-5.50,
06/24/2025,06/25/2025,1-800 CONTACTS  INC.,Health & Wellness,Sale,-327.96,
06/24/2025,06/25/2025,SQ *NECESSARY &amp; SUFFICIEN,Food & Drink,Sale,-9.43,
06/23/2025,06/24/2025,ONE MEDICAL,Health & Wellness,Sale,-25.00,
06/23/2025,06/24/2025,TST* TOTTO'S MARKET,Groceries,Sale,-26.71,
06/22/2025,06/24/2025,5GUYS 0582 QSR,Food & Drink,Sale,-35.13,
06/21/2025,06/23/2025,GETCLEAN.US,Home,Sale,-198.87,
06/22/2025,06/23/2025,TST* TOTTO'S MARKET,Groceries,Sale,-17.06,
